Author,Exposure,Outcome,Direction,Strength
O'Donnell et al. 2016,Smoking,first ischemic stroke,Increase,6.84
O'Donnell et al. 2016,Diabetes mellitus,first ischemic stroke,Increase,6.84
O'Donnell et al. 2016,moderate physical activity,first ischemic stroke,Decrease,6.84
,moderate physical activity,Diabetes mellitus,Decrease,6.84
"O'Donnell et al. 2016, Paterson et al. 2018",healthy (mediterranean) diet,first ischemic stroke,Decrease,6.84
,healthy (mediterranean) diet,Diabetes mellitus,Decrease,3.92
"Ebrahim et al., 2006",hyperlipoproteinemia (high LDL),first ischemic stroke,Increase,6.0
,atrial fibrillation,first ischemic stroke,Increase,6.84
,dissection of cerebral vessel,first ischemic stroke,Increase,6.84
,atherosclerosis,first ischemic stroke,Increase,6.84
,hyperlipoproteinemia (high LDL),atherosclerosis,Increase,6.84
,positive familiy history of cardio/cerebrovascular events,first ischemic stroke,Increase,6.84
,stenoses of cerebral vessels,first ischemic stroke,Increase,4.17
,atherosclerosis,stenoses of cerebral vessels,Increase,6.84
,dissection of cerebral vessel,stenoses of cerebral vessels,Increase,6.84
In patients where no other risk factors are found and the PFO shows a right-->left shunt and shows a hypermobile septum,patent foramen ovale (PFO),first ischemic stroke,Increase,3.52
Bushnell at el. 2014,oral contraceptives,first ischemic stroke,Increase,3.0
in women with other cardiovascular risk factors or vessels that are sensitive to homonal changes,depression,first ischemic stroke,Increase,3.0
"O'Donnell et al., 2010",antidepressive medication,first ischemic stroke,Increase,3.52
,depression,antidepressive medication,Increase,3.52
,antiplatelet therapy (e.g. ASS),first ischemic stroke,Decrease,6.0
In patients with high cardiovascular risk profile,Statins,first ischemic stroke,Decrease,6.84
"In patients with high cardiovascular risk profile, especially high LDL-Cholesterine",Statins,hyperlipoproteinemia (high LDL),Decrease,6.0
"Law et al., 2003",first ischemic stroke,second ischemic stroke,Increase,6.0
"Khanevski et al., 2019",age,hyperlipoproteinemia (high LDL),Increase,4.34
,age,atrial fibrillation,Increase,6.84
,age,patent foramen ovale (PFO),Decrease,3.68
,age,first ischemic stroke,Increase,6.84
,arterial hypertension,first ischemic stroke,Increase,6.84
O'Donnell et al 2016,age,death (all causes),Increase,6.0
,age,arterial hypertension,Increase,6.84
,age,second ischemic stroke,Increase,6.0
"Khanevski et al., 2019",Smoking,second ischemic stroke,Increase,6.84
,Diabetes mellitus,second ischemic stroke,Increase,6.84
,hyperlipoproteinemia (high LDL),second ischemic stroke,Increase,6.84
,moderate physical activity,second ischemic stroke,Decrease,6.84
,healthy (mediterranean) diet,second ischemic stroke,Decrease,6.84
,atrial fibrillation,second ischemic stroke,Increase,6.84
,dissection of cerebral vessel,second ischemic stroke,Increase,6.84
,atherosclerosis,second ischemic stroke,Increase,6.84
,positive familiy history of cardio/cerebrovascular events,second ischemic stroke,Increase,3.6
,stenoses of cerebral vessels,second ischemic stroke,Increase,3.6
,antiplatelet therapy (e.g. ASS),second ischemic stroke,Decrease,6.0
Kernan et al. 2014,Statins,second ischemic stroke,Decrease,6.0
"Amarenco et al., 2020",first ischemic stroke,post stroke epilepsy,Increase,5.31
Browne and Holmes 2001,second ischemic stroke,post stroke epilepsy,Increase,6.84
Browne and Holmes 2001,stroke severity (e.g. measured by NIHSS),post stroke epilepsy,Increase,6.0
"Slapo et al., 2006",post stroke epilepsy,functional outcome (e.g. measured by mRS),Increase,4.0
Arntz et al. 2013,stroke severity (e.g. measured by NIHSS),functional outcome (e.g. measured by mRS),Increase,4.26
Arntz et al. 2013,obesity,first ischemic stroke,Increase,5.76
,obesity,second ischemic stroke,Increase,5.76
"Kernan et al., 2014 (AHA/ASA Guideline)",sleep apnea,first ischemic stroke,Increase,5.76
"Kernan et al., 2014 (AHA/ASA Guideline)",sleep apnea,second ischemic stroke,Increase,5.76
"Kernan et al., 2014 (AHA/ASA Guideline)",obesity,sleep apnea,Increase,3.29
"Kernan et al., 2014 (AHA/ASA Guideline)",anticoagulation,first ischemic stroke,Decrease,6.84
,anticoagulation,second ischemic stroke,Decrease,6.84
Kernan et al. 2014 (for some patients patients with atrial fibrillation and some patients with thrombophilia),low socioeconomic status,death (all causes),Increase,4.43
